Neighborhood,Year,Section,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Count
"Banksville                    ",2020,3743,"Accidents Involving Damage to Attended Veh. or Property",2,0,0,0,2,1,1,4,0,0,3,4,17
"Banksville                    ",2023,3745,"Accidents Involving Damage to Unattended Veh.or Prop.",0,3,1,0,0,0,0,0,0,0,0,0,4
"Banksville                    ",2022,3745,"Accidents Involving Damage to Unattended Veh.or Prop.",0,1,1,1,0,1,1,1,2,1,0,1,10
"Banksville                    ",2021,3745,"Accidents Involving Damage to Unattended Veh.or Prop.",2,1,1,1,3,0,2,1,2,0,0,0,13
"Banksville                    ",2020,3745,"Accidents Involving Damage to Unattended Veh.or Prop.",1,0,0,1,2,1,1,1,0,0,0,2,9
"Banksville                    ",2023,3742,"Accidents Involving Death or Personal Injury",0,1,1,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2021,3742,"Accidents Involving Death or Personal Injury",1,0,0,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2020,3742,"Accidents Involving Death or Personal Injury",0,0,0,0,0,0,0,0,0,0,0,1,1
"Banksville                    ",2020,3354,"Additional Parking Regulations.",0,1,0,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2023,3732.1,"Aggravated Assault by Vehicle",0,1,0,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2023,2702,"Aggravated Assault.",3,2,0,0,0,0,0,0,0,0,0,0,5
"Banksville                    ",2021,2702,"Aggravated Assault.",0,0,0,1,0,0,0,0,0,0,0,0,1
"Banksville                    ",2020,2702,"Aggravated Assault.",0,0,0,0,0,0,0,0,0,2,0,0,2
"Banksville                    ",2023,9497,"Aided Case",1,0,0,1,0,0,0,0,0,0,0,0,2
"Banksville                    ",2022,9497,"Aided Case",0,0,0,0,0,0,1,0,1,0,0,1,3
"Banksville                    ",2021,9497,"Aided Case",2,1,1,2,0,1,2,0,1,0,0,0,10
"Banksville                    ",2020,9497,"Aided Case",1,0,1,0,0,0,0,1,0,1,0,0,4
"Banksville                    ",2020,3301,Arson,0,0,0,0,0,0,0,2,0,0,0,0,2
"Banksville                    ",2020,4105(a)(1),"Bad Checks",0,0,0,0,0,0,0,0,0,0,0,1,1
"Banksville                    ",2021,9501,"Bench Warrant",0,0,0,0,0,0,0,2,2,2,0,0,6
"Banksville                    ",2020,9501,"Bench Warrant",0,0,0,0,0,0,0,4,2,0,0,0,6
"Banksville                    ",2023,3502,Burglary.,0,1,0,1,0,0,0,0,0,0,0,0,2
"Banksville                    ",2022,3502,Burglary.,0,0,0,0,0,1,0,0,1,0,0,0,2
"Banksville                    ",2021,3502,Burglary.,1,0,0,0,0,0,0,0,1,2,0,0,4
"Banksville                    ",2020,3502,Burglary.,0,0,1,1,0,0,0,3,0,1,0,0,6
"Banksville                    ",2023,3714,"Careless Driving",0,1,0,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2022,3714,"Careless Driving",0,0,0,0,0,0,2,0,0,0,0,0,2
"Banksville                    ",2022,7615(a)(2),"Computer Trespass - Cause Malfunction",0,0,0,1,0,0,0,0,0,0,0,0,1
"Banksville                    ",2020,9500,"Conversion - Field Contact Report",0,0,0,0,0,0,0,1,0,0,0,0,1
"Banksville                    ",2023,901,"Criminal Attempt",2,0,0,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2021,901,"Criminal Attempt",0,0,0,0,0,0,0,0,1,0,0,0,1
"Banksville                    ",2020,901,"Criminal Attempt",0,0,0,1,0,0,0,0,0,1,0,0,2
"Banksville                    ",2021,903,"Criminal Conspiracy.",0,2,0,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2020,903,"Criminal Conspiracy.",0,0,0,0,0,0,0,2,0,0,0,0,2
"Banksville                    ",2022,3304(a)(4),"CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",0,0,0,1,0,0,0,0,0,0,0,0,1
"Banksville                    ",2020,3304(a)(4),"CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",0,0,0,0,0,0,1,0,0,0,0,0,1
"Banksville                    ",2022,3304(a)(2),"CRIMINAL MISCHIEF- Tamper With Property (So As To Endanger Person or Property)",0,0,0,0,0,1,0,0,0,0,0,0,1
"Banksville                    ",2023,3304(a)(5),"CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another",2,0,1,0,0,0,0,0,0,0,0,0,3
"Banksville                    ",2021,3304(a)(5),"CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another",0,0,1,0,0,0,0,0,1,0,0,0,2
"Banksville                    ",2020,3304(a)(5),"CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another",1,0,0,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2023,3304,"Criminal Mischief.",1,0,1,2,0,0,0,0,0,0,0,0,4
"Banksville                    ",2022,3304,"Criminal Mischief.",0,0,0,0,0,0,3,0,0,0,2,1,6
"Banksville                    ",2021,3304,"Criminal Mischief.",0,0,1,1,0,0,2,0,0,0,0,1,5
"Banksville                    ",2020,3304,"Criminal Mischief.",0,0,0,0,0,2,0,1,0,1,1,1,6
"Banksville                    ",2022,3503(a),"Criminal Trespass",0,0,0,0,0,0,0,1,0,0,0,0,1
"Banksville                    ",2021,3503,"Criminal Trespass",0,0,0,0,0,0,0,0,0,2,0,0,2
"Banksville                    ",2023,9496,"Dead on Arrival (DOA)",0,0,0,1,0,0,0,0,0,0,0,0,1
"Banksville                    ",2022,9496,"Dead on Arrival (DOA)",0,1,1,1,2,1,1,0,0,0,1,1,9
"Banksville                    ",2021,9496,"Dead on Arrival (DOA)",1,0,1,2,2,1,0,0,0,1,2,0,10
"Banksville                    ",2020,9496,"Dead on Arrival (DOA)",0,0,1,2,1,0,0,0,1,0,0,2,7
"Banksville                    ",2022,3503.B1I,"DEF. TRESPASS ACTUAL COMMUNICATION",0,0,1,0,0,0,1,0,0,0,0,0,2
"Banksville                    ",2021,3503(b)(1)(ii),"Defiant Trespass Notice Posted by Sign(s)",0,0,0,0,2,0,0,0,0,0,0,0,2
"Banksville                    ",2023,607.03,"Discharging Firearm or Airgun",2,0,0,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2022,5503(a)(1),"DISORDERLY CONDUCT - ENGAGE IN FIGHTING",0,0,1,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2020,5503(a)(4),"DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF",0,0,0,1,0,0,0,0,0,0,0,0,1
"Banksville                    ",2020,5503(a)(3),"DISORDERLY CONDUCT - OBSCENE LANG/GEST",0,1,0,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2021,5503,"Disorderly Conduct.",0,0,0,0,0,0,1,0,0,0,0,0,1
"Banksville                    ",2020,5503,"Disorderly Conduct.",0,0,0,0,0,0,0,0,0,1,0,0,1
"Banksville                    ",2022,1501,"Drivers Required to be Licensed.",2,0,0,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2020,1501,"Drivers Required to be Licensed.",0,0,0,0,0,0,0,2,0,2,0,0,4
"Banksville                    ",2021,3309,"Driving on Roadways Laned for Traffic.",0,0,0,0,0,0,0,0,0,0,2,0,2
"Banksville                    ",2023,1543,"Driving While Operating Privilege is Suspended or Revoked.",0,1,1,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2021,1543,"Driving While Operating Privilege is Suspended or Revoked.",1,0,0,2,1,0,0,0,0,0,0,0,4
"Banksville                    ",2020,1543,"Driving While Operating Privilege is Suspended or Revoked.",0,0,0,0,0,0,4,2,0,0,1,4,11
"Banksville                    ",2021,3802(a)(2),"DUI - BAC >.08% <.10%",0,0,0,0,0,0,0,2,0,0,0,0,2
"Banksville                    ",2020,3802(d)(1)(i),"DUI - Controlled Substance - Schedule I",0,0,0,0,0,0,0,2,0,0,0,0,2
"Banksville                    ",2020,3802(d)(2),"DUI - Drug - Impaired Ability",0,0,0,0,0,0,0,2,0,0,0,0,2
"Banksville                    ",2023,3802(a)(1),"DUI - General Impairment",4,0,0,0,0,0,0,0,0,0,0,0,4
"Banksville                    ",2022,3802(a)(1),"DUI - General Impairment",0,0,0,0,0,0,2,0,0,0,0,0,2
"Banksville                    ",2021,3802(a)(1),"DUI - General Impairment",0,0,0,0,0,1,0,2,2,0,2,0,7
"Banksville                    ",2020,3802(a)(1),"DUI - General Impairment",2,0,0,1,2,1,2,0,0,0,0,1,9
"Banksville                    ",2022,3802(b),"DUI - High Rate of Alchol - BAC >=.10% <.16%",0,0,0,0,0,0,2,0,0,0,0,0,2
"Banksville                    ",2023,3802(c),"DUI - Highest Rate of Alcohol - BAC >= .16%",2,0,0,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2021,3802(c),"DUI - Highest Rate of Alcohol - BAC >= .16%",0,0,0,0,0,0,0,0,2,0,2,0,4
"Banksville                    ",2021,3325,"Duty of Driver on Approach of Emergency Vehicle.",0,0,0,0,0,0,0,0,2,0,0,0,2
"Banksville                    ",2020,4701,"Duty to Comply with Inspection Laws",0,0,0,0,2,0,0,0,0,0,0,0,2
"Banksville                    ",2023,3744,"Duty to Give Information and Render Aid",0,4,1,1,0,0,0,0,0,0,0,0,6
"Banksville                    ",2022,3744,"Duty to Give Information and Render Aid",0,0,0,0,0,0,0,0,1,0,0,0,1
"Banksville                    ",2021,3744,"Duty to Give Information and Render Aid",1,0,0,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2020,3744,"Duty to Give Information and Render Aid",0,0,0,0,0,0,0,2,0,0,1,0,3
"Banksville                    ",2022,9015,"Failure To Appear/Arrest on Attachment Order",0,0,0,0,0,0,1,0,0,0,0,0,1
"Banksville                    ",2021,9015,"Failure To Appear/Arrest on Attachment Order",0,0,1,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2020,9015,"Failure To Appear/Arrest on Attachment Order",0,0,0,0,0,0,2,0,2,0,1,0,5
"Banksville                    ",2021,9488,"False  Burglar Alarm",0,0,0,0,0,1,0,0,0,0,0,0,1
"Banksville                    ",2021,2903,"False Imprisonment.",1,0,0,2,0,0,0,0,0,0,0,0,3
"Banksville                    ",2020,4906,"False Reports to Law Enforcement Authorities.",0,0,0,0,0,0,0,2,0,0,0,0,2
"Banksville                    ",2021,6106,"Firearms not to be Carried without a License.",0,0,0,0,0,0,0,0,2,0,0,0,2
"Banksville                    ",2020,6106,"Firearms not to be Carried without a License.",2,1,0,0,0,0,0,0,0,0,0,0,3
"Banksville                    ",2022,9493,"Fires (Self-Starting)",0,0,1,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2022,5126,"Flight to Avoid Apprehension, Trial or Punishment.",0,0,0,0,0,0,0,0,1,0,0,0,1
"Banksville                    ",2022,4101,Forgery.,0,1,1,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2020,4101,Forgery.,0,1,0,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2020,9017,"Found Drugs",0,0,0,0,1,0,0,0,1,0,0,0,2
"Banksville                    ",2023,9489,"Found Property",0,0,0,1,0,0,0,0,0,0,0,0,1
"Banksville                    ",2022,9489,"Found Property",0,1,0,0,0,1,0,0,0,0,0,0,2
"Banksville                    ",2021,9489,"Found Property",0,0,0,0,0,0,1,0,0,0,1,0,2
"Banksville                    ",2020,9489,"Found Property",0,0,0,0,0,0,0,0,1,1,0,0,2
"Banksville                    ",2022,4103,"Fraud. Destruct., Remov. or Conceal.of Record. Instr.",0,1,0,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2022,2709,"Harassment (Non-Specific)",0,0,1,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2021,2709,"Harassment (Non-Specific)",1,0,1,0,1,0,0,1,0,0,0,0,4
"Banksville                    ",2020,2709,"Harassment (Non-Specific)",0,1,0,0,1,1,1,0,1,0,0,0,5
"Banksville                    ",2022,2709(a)(1),"Harassment by Physical Contact, or Attempts or Threats",0,0,0,1,0,0,0,2,1,1,0,0,5
"Banksville                    ",2021,2709(a)(1),"Harassment by Physical Contact, or Attempts or Threats",1,1,0,0,0,0,3,1,1,0,0,0,7
"Banksville                    ",2020,2709(a)(1),"Harassment by Physical Contact, or Attempts or Threats",0,2,0,1,0,0,0,2,2,0,0,1,8
"Banksville                    ",2020,2709(a)(4),"Harassment Communicates Prohibited Acts",0,0,0,1,0,0,0,0,0,0,0,0,1
"Banksville                    ",2023,2709(a)(5),"Harassment Communicates Repeatedly in Anonymous Manner",0,0,0,1,0,0,0,0,0,0,0,0,1
"Banksville                    ",2020,2709(a)(5),"Harassment Communicates Repeatedly in Anonymous Manner",0,0,0,1,0,0,0,0,0,2,0,1,4
"Banksville                    ",2022,2709(a)(3),"Harassment No Legitimate Purpose",0,0,0,0,0,0,0,0,0,0,2,0,2
"Banksville                    ",2021,2709(a)(3),"Harassment No Legitimate Purpose",0,0,0,0,0,1,0,0,0,0,0,0,1
"Banksville                    ",2020,2709(a)(3),"Harassment No Legitimate Purpose",0,0,0,1,0,0,0,0,0,0,0,1,2
"Banksville                    ",2023,2709(a),Harassment.,0,0,1,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2022,2709(a),Harassment.,0,1,1,1,0,0,2,1,0,1,0,0,7
"Banksville                    ",2021,2709(a),Harassment.,1,0,0,1,1,1,0,1,0,3,0,0,8
"Banksville                    ",2020,2709(a),Harassment.,1,0,1,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2023,517.8,"Home Improvement Fraud",2,0,0,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2020,"473.07 (a)","Hours of Parks 0600-2300 hrs.",0,0,2,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2023,4120,"Identity Theft",0,1,0,1,0,0,0,0,0,0,0,0,2
"Banksville                    ",2022,4120,"Identity Theft",0,6,1,0,0,0,0,1,0,0,0,1,9
"Banksville                    ",2021,4120,"Identity Theft",0,1,1,0,1,1,6,1,0,0,0,0,11
"Banksville                    ",2020,4120,"Identity Theft",0,0,0,0,1,0,0,0,2,1,1,1,6
"Banksville                    ",2023,3746,"Immediate Notice of Accident to Police Department",0,1,0,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2023,9093,"Indirect Criminal Contempt",1,0,0,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2022,9093,"Indirect Criminal Contempt",0,0,0,0,2,0,0,0,0,0,0,0,2
"Banksville                    ",2021,9093,"Indirect Criminal Contempt",0,0,0,2,2,0,0,0,0,0,0,0,4
"Banksville                    ",2023,2901,Kidnapping.,2,0,0,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2022,601.11(a),"Littering and Dumping; Any waste, dangerous or detrimental substance upon public property",0,0,0,0,0,0,1,0,0,0,0,0,1
"Banksville                    ",2022,0291,"Located Runaway - Outside City",0,0,0,0,1,0,0,0,0,0,0,0,1
"Banksville                    ",2021,5506,"Loitering and Prowling at Night",0,0,1,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2022,9504,"Lost Property",0,0,0,1,1,0,0,0,0,0,0,0,2
"Banksville                    ",2020,9504,"Lost Property",0,1,0,0,0,0,0,1,1,0,0,0,3
"Banksville                    ",2020,2910,"Luring a Child into a Motor Vehicle.",0,0,0,0,0,0,0,1,0,0,0,0,1
"Banksville                    ",2020,13(a)(31)(i),"Marijuana - Possess Small Amt for Personal Use",0,0,2,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2021,13(a)(31),"Marijuana: Possession Small Amount",0,0,0,2,0,0,0,0,0,0,0,0,2
"Banksville                    ",2020,13(a)(31),"Marijuana: Possession Small Amount",0,0,0,0,0,0,0,2,0,2,0,0,4
"Banksville                    ",2021,3364,"Minimum Speed Regulation.",0,0,0,0,0,0,0,2,0,0,0,0,2
"Banksville                    ",2020,425.26,Miscellaneous,0,0,0,0,0,0,0,1,0,0,0,0,1
"Banksville                    ",2022,9123,"Miscellaneous Fire Other Investigation to Continue",0,0,1,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2021,9123,"Miscellaneous Fire Other Investigation to Continue",0,0,0,1,0,0,0,0,0,0,0,0,1
"Banksville                    ",2023,9129,"Miscellaneous Investigation",0,0,0,1,0,0,0,0,0,0,0,0,1
"Banksville                    ",2022,9129,"Miscellaneous Investigation",0,0,0,1,0,0,0,0,1,0,0,0,2
"Banksville                    ",2021,9129,"Miscellaneous Investigation",0,1,0,0,1,1,0,0,1,0,0,0,4
"Banksville                    ",2020,9129,"Miscellaneous Investigation",0,0,0,0,0,0,0,0,1,1,0,0,2
"Banksville                    ",2023,029,"Missing Juvenile",0,0,0,2,0,0,0,0,0,0,0,0,2
"Banksville                    ",2022,029,"Missing Juvenile",0,0,1,0,1,0,1,0,0,0,0,0,3
"Banksville                    ",2020,9490,"Missing Persons (18 and Over)",0,0,0,0,0,0,1,0,0,0,0,0,1
"Banksville                    ",2023,9012,"Non-Violent Domestic",1,0,0,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2022,9012,"Non-Violent Domestic",1,0,0,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2020,13(a)(12),"Obtaining Cont. Subst. by Fraudulent Means",0,0,0,0,0,1,0,0,0,0,0,0,1
"Banksville                    ",2021,3308,"One-Way Roadways and Rotary Traffic Islands.",1,0,0,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2021,4703,"Operation of Vehicle without Official Certif. of Inspection",1,0,0,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2020,4703,"Operation of Vehicle without Official Certif. of Inspection",0,0,0,0,0,0,0,0,0,0,1,0,1
"Banksville                    ",2023,9998,Overdose,0,1,0,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2022,9998,Overdose,0,0,0,0,0,0,0,0,1,0,0,0,1
"Banksville                    ",2021,9998,Overdose,0,1,0,0,0,2,1,1,0,0,0,1,6
"Banksville                    ",2020,9998,Overdose,1,0,1,1,0,1,1,2,0,0,0,0,7
"Banksville                    ",2022,9997,"Overdose Death",0,0,0,0,0,0,0,0,0,0,0,1,1
"Banksville                    ",2021,9997,"Overdose Death",0,0,0,0,0,0,0,0,0,1,0,0,1
"Banksville                    ",2020,9997,"Overdose Death",0,0,0,0,0,0,0,0,0,1,0,0,1
"Banksville                    ",2022,13(a)(32),"Paraphernalia - Use or Possession",2,0,0,0,0,0,0,0,3,0,0,0,5
"Banksville                    ",2021,13(a)(32),"Paraphernalia - Use or Possession",1,2,0,2,0,2,0,0,0,0,0,0,7
"Banksville                    ",2020,13(a)(32),"Paraphernalia - Use or Possession",2,0,2,0,0,0,4,6,2,4,1,1,22
"Banksville                    ",2021,6105(c)(9),"Persons Not To Possess Use Manuf, Control Firearm",0,0,0,0,0,0,0,0,2,0,0,0,2
"Banksville                    ",2023,6105(a)(1),"Persons not to possess, use, manufacture, control, sell or transfer firearms: Former convict enumerated in subsection (b)",0,1,0,0,0,0,0,0,0,0,0,0,1
"Banksville                    ",2022,6105(a)(1),"Persons not to possess, use, manufacture, control, sell or transfer firearms: Former convict enumerated in subsection (b)",0,2,0,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2020,6105(a)(1),"Persons not to possess, use, manufacture, control, sell or transfer firearms: Former convict enumerated in subsection (b)",0,1,0,0,0,0,0,0,0,1,0,0,2
"Banksville                    ",2023,9994,"PFA Service",0,0,2,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2022,9994,"PFA Service",0,0,0,0,0,0,2,0,1,0,0,1,4
"Banksville                    ",2022,9993,"PFA Service with Weapons Supplement",0,1,0,0,1,0,0,0,2,0,1,0,5
"Banksville                    ",2021,9993,"PFA Service with Weapons Supplement",0,0,0,1,1,0,0,0,1,0,0,0,3
"Banksville                    ",2021,627.02(b)(i),"Possessing a small amount of marijuana",1,0,0,1,1,0,0,0,0,0,0,0,3
"Banksville                    ",2022,907,"Possessing Instruments of Crime.",0,0,0,0,0,0,0,0,2,0,0,0,2
"Banksville                    ",2021,907,"Possessing Instruments of Crime.",0,0,0,0,0,0,0,0,0,0,0,2,2
"Banksville                    ",2020,907,"Possessing Instruments of Crime.",0,0,0,0,0,0,0,2,0,0,0,0,2
"Banksville                    ",2022,13(a)(16),"Possession of Controlled Substance",0,0,0,0,0,0,0,0,2,0,0,0,2
"Banksville                    ",2021,13(a)(16),"Possession of Controlled Substance",0,2,0,2,0,2,0,0,0,0,0,0,6
"Banksville                    ",2020,13(a)(16),"Possession of Controlled Substance",0,0,0,0,0,0,6,4,0,4,0,0,14
"Banksville                    ",2021,13(a)(30),"Possession w/ Intent to Del. Controlled Substance",0,2,0,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2020,13(a)(30),"Possession w/ Intent to Del. Controlled Substance",0,0,0,0,0,0,0,2,0,2,0,0,4
"Banksville                    ",2020,908,"Prohibited Offensive Weapons.",0,0,0,0,0,0,0,0,0,2,0,0,2
"Banksville                    ",2023,3353,"Prohibitions in Specified Places.",2,0,0,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2020,3353,"Prohibitions in Specified Places.",0,0,0,0,0,1,0,0,0,0,0,0,1
"Banksville                    ",2020,1785,"Proof of Financial Responsibility Following Accident.",0,0,0,0,0,0,0,0,0,0,0,1,1
"Banksville                    ",2023,5505,"Public Drunkenness",2,0,0,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2022,5505,"Public Drunkenness",0,0,0,0,0,0,0,0,2,0,0,0,2
"Banksville                    ",2020,5505,"Public Drunkenness",4,0,0,0,0,0,0,0,0,0,0,0,4
"Banksville                    ",2022,3925,"Receiving Stolen Property.",0,0,0,0,0,0,0,0,2,0,0,0,2
"Banksville                    ",2021,3925,"Receiving Stolen Property.",0,0,2,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2020,3925,"Receiving Stolen Property.",0,0,0,0,0,0,2,0,0,0,0,0,2
"Banksville                    ",2023,3736,"Reckless Driving",0,2,1,0,0,0,0,0,0,0,0,0,3
"Banksville                    ",2021,3736,"Reckless Driving",1,0,0,0,0,0,0,0,0,1,0,0,2
"Banksville                    ",2020,3736,"Reckless Driving",0,0,0,0,0,1,0,3,0,0,1,0,5
"Banksville                    ",2023,2705,"Recklessly Endangering Another Person.",0,1,1,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2022,2705,"Recklessly Endangering Another Person.",0,0,0,0,0,0,0,0,0,0,3,0,3
"Banksville                    ",2021,2705,"Recklessly Endangering Another Person.",0,0,0,0,0,2,0,1,0,0,0,0,3
"Banksville                    ",2020,2705,"Recklessly Endangering Another Person.",0,0,0,0,0,1,0,0,0,1,0,0,2
"Banksville                    ",2021,9094,"Recovered Stolen Vehicle (OUTSIDE CITY)",0,0,0,0,1,0,0,0,0,0,0,0,1
"Banksville                    ",2022,1301,"Registration and Certificate of Title Required.",2,0,0,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2021,1301,"Registration and Certificate of Title Required.",0,0,0,0,1,0,0,0,0,0,0,0,1
"Banksville                    ",2021,1786,"Required Financial Responsibility.",1,0,0,0,0,0,1,0,0,0,0,0,2
"Banksville                    ",2020,1786,"Required Financial Responsibility.",0,0,0,0,0,0,0,0,0,0,1,2,3
"Banksville                    ",2022,3929,"Retail Theft.",0,0,0,0,0,0,0,0,1,0,0,1,2
"Banksville                    ",2021,3929,"Retail Theft.",0,0,0,1,0,0,0,0,0,0,0,0,1
"Banksville                    ",2022,3929(a)(1),"Retail Theft; takes possession of, carries away, or transfers displayed merchandise",0,0,0,0,0,0,0,0,2,0,0,0,2
"Banksville                    ",2023,3701,Robbery.,2,0,0,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2021,3701,Robbery.,0,0,0,0,0,0,2,0,0,0,0,1,3
"Banksville                    ",2020,3701,Robbery.,0,1,0,0,0,0,0,0,0,0,1,1,3
"Banksville                    ",2022,8106,"Shots Fired",0,0,0,0,0,0,0,0,0,0,1,0,1
"Banksville                    ",2020,8106,"Shots Fired",0,0,0,0,0,0,0,0,0,0,0,1,1
"Banksville                    ",2021,2701(b)(2),"Simple Assault -  Child Under 12 / Adult 21 Or Older",0,0,0,0,0,2,0,0,0,0,0,0,2
"Banksville                    ",2023,2701(a)(3),"Simple Assault - Attempts by Physical Menace",2,0,0,2,0,0,0,0,0,0,0,0,4
"Banksville                    ",2022,2701(a)(3),"Simple Assault - Attempts by Physical Menace",4,2,0,0,0,0,0,0,0,0,0,0,6
"Banksville                    ",2021,2701(a)(3),"Simple Assault - Attempts by Physical Menace",0,0,0,2,2,0,0,0,0,2,0,0,6
"Banksville                    ",2020,2701(a)(3),"Simple Assault - Attempts by Physical Menace",0,0,0,0,0,0,0,2,0,0,0,0,2
"Banksville                    ",2023,2701(a)(1),"Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",2,1,0,0,0,0,0,0,0,0,0,0,3
"Banksville                    ",2022,2701(a)(1),"Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",0,0,0,0,1,0,0,0,0,0,0,0,1
"Banksville                    ",2021,2701(a)(1),"Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",0,0,0,0,0,2,0,0,0,0,0,0,2
"Banksville                    ",2020,2701(a)(1),"Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",0,0,0,0,0,0,2,0,0,0,0,0,2
"Banksville                    ",2023,2701,"Simple Assault.",1,0,1,0,0,0,0,0,0,0,0,0,2
"Banksville                    ",2022,2701,"Simple Assault.",0,0,3,3,0,2,3,0,1,1,2,1,16
"Banksville                    ",2021,2701,"Simple Assault.",2,0,0,3,3,0,2,0,0,2,2,2,16
